time_step,time,demand_met_mw,demand_normalized
0,0:00,194465,0.38565755664564355
1,0:15,193937,0.3702405979911236
2,0:30,192775,0.3363116094370474
3,0:45,192126,0.3173615977575333
4,1:00,191037,0.28556412053258584
5,1:15,189382,0.23724013081055828
6,1:30,188121,0.20042046250875964
7,1:45,187216,0.17399556178462977
8,2:00,185678,0.12908782994627424
9,2:15,184847,0.1048236393366036
10,2:30,184481,0.09413688390562952
11,2:45,183859,0.07597523943003971
12,3:00,183096,0.05369656622284513
13,3:15,182528,0.03711165615510395
14,3:30,182245,0.028848399906563887
15,3:45,181936,0.01982597523943004
16,4:00,181257,0.0
17,4:15,182740,0.04330179864517636
18,4:30,182654,0.04079070310675076
19,4:45,183778,0.07361013781826677
20,5:00,184711,0.10085260453165149
21,5:15,186425,0.15089932258818034
22,5:30,187774,0.19028848399906564
23,5:45,189238,0.23303550572296192
24,6:00,190561,0.2716654987152535
25,6:15,193412,0.3549112356925952
26,6:30,197194,0.4653410418126606
27,6:45,198481,0.502919878533053
28,7:00,199779,0.5408199018920813
29,7:15,201436,0.5892022891847699
30,7:30,201514,0.5914797944405513
31,7:45,202150,0.6100502219107685
32,8:00,201392,0.5879175426302266
33,8:15,203803,0.658315814062135
34,8:30,205839,0.7177645409950946
35,8:45,206687,0.7425251109553842
36,9:00,208635,0.7994043447792571
37,9:15,211761,0.8906797477224947
38,9:30,214362,0.9666257883672039
39,9:45,214765,0.9783928988554076
40,10:00,214366,0.966742583508526
41,10:15,214229,0.9627423499182434
42,10:30,213593,0.9441719224480262
43,10:45,213515,0.9418944171922448
44,11:00,212994,0.9266818500350386
45,11:15,212407,0.9095421630460173
46,11:30,213511,0.9417776220509226
47,11:45,212247,0.9048703573931325
48,12:00,211187,0.8739196449427704
49,12:15,211575,0.8852487736510161
50,12:30,210467,0.8528965195047886
51,12:45,208895,0.8069960289651951
52,13:00,208384,0.7920754496612941
53,13:15,203847,0.6596005606166784
54,13:30,203184,0.6402417659425368
55,13:45,205352,0.7035447325391264
56,14:00,205780,0.7160418126605933
57,14:15,208299,0.789593552908199
58,14:30,210520,0.8544440551273067
59,14:45,212937,0.9250175192711984
60,15:00,213859,0.9519387993459472
61,15:15,213168,0.9317624386825508
62,15:30,214625,0.9743050689091334
63,15:45,214753,0.9780425134314412
64,16:00,215505,1.0
65,16:15,214469,0.9697500583975707
66,16:30,214326,0.9655746320953048
67,16:45,214810,0.9797068441952814
68,17:00,213674,0.9465370240597991
69,17:15,210018,0.8397862648913805
70,17:30,210014,0.8396694697500584
71,17:45,209463,0.8235809390329363
72,18:00,207652,0.7707019387993459
73,18:15,205948,0.7209472085961224
74,18:30,209165,0.8148797010044382
75,18:45,212207,0.9037024059799112
76,19:00,214918,0.9828603130109788
77,19:15,214291,0.9645526746087363
78,19:30,214196,0.9617787900023359
79,19:45,212743,0.9193529549170755
80,20:00,210912,0.8658899789768746
81,20:15,208385,0.7921046484466246
82,20:30,206101,0.7254146227516935
83,20:45,205096,0.6960698434945106
84,21:00,203909,0.6614108853071712
85,21:15,203376,0.6458479327259986
86,21:30,203371,0.6457019387993459
87,21:45,203245,0.6420228918476991
88,22:00,202508,0.6205033870590984
89,22:15,204172,0.6690901658491006
90,22:30,204340,0.6739955617846297
91,22:45,203682,0.6547827610371408
92,23:00,202324,0.6151308105582808
93,23:15,200852,0.5721501985517402
94,23:30,198986,0.5176652651249708
95,23:45,197850,0.48449544498948843
