Latitude (decimal degrees):	12.307
Longitude (decimal degrees):	76.650
Elevation (m):	756
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,0.0,0.0,17.33,0.48,0.0
20230101:0130,5.82,18.75,12.25,0.0,2.66,17.19,0.28,0.0
20230101:0230,156.77,160.2,67.3,0.0,15.8,17.05,0.34,0.0
20230101:0330,351.12,360.11,94.35,0.0,28.29,19.39,0.41,0.0
20230101:0430,501.99,539.86,110.75,0.0,39.62,22.3,0.9,0.0
20230101:0530,600.41,670.76,120.35,0.0,48.78,24.26,1.24,0.0
20230101:0630,649.39,735.41,126.05,0.0,54.08,25.75,1.79,0.0
20230101:0730,645.18,726.76,127.75,0.0,53.76,26.62,2.14,0.0
20230101:0830,582.02,632.96,132.2,0.0,47.96,27.26,2.28,0.0
20230101:0930,468.23,489.61,122.3,0.0,38.5,27.58,2.21,0.0
20230101:1030,312.0,321.06,95.0,0.0,27.01,27.59,2.14,0.0
20230101:1130,125.09,133.75,62.8,0.0,14.43,27.29,2.07,0.0
20230101:1230,2.7,0.0,12.15,0.0,1.24,26.26,1.59,0.0
20230101:1330,0.0,0.0,0.0,0.0,0.0,24.38,1.86,0.0
20230101:1430,0.0,0.0,0.0,0.0,0.0,22.52,1.93,0.0
20230101:1530,0.0,0.0,0.0,0.0,0.0,21.01,1.93,0.0
20230101:1630,0.0,0.0,0.0,0.0,0.0,19.95,2.14,0.0
20230101:1730,0.0,0.0,0.0,0.0,0.0,19.23,2.28,0.0
20230101:1830,0.0,0.0,0.0,0.0,0.0,18.95,2.55,0.0
20230101:1930,0.0,0.0,0.0,0.0,0.0,18.67,2.55,0.0
20230101:2030,0.0,0.0,0.0,0.0,0.0,18.44,2.69,0.0
20230101:2130,0.0,0.0,0.0,0.0,0.0,18.17,2.62,0.0
20230101:2230,0.0,0.0,0.0,0.0,0.0,17.69,2.48,0.0
20230101:2330,0.0,0.0,0.0,0.0,0.0,17.13,2.21,0.0
20230102:0030,0.0,0.0,0.0,0.0,0.0,16.5,2.14,0.0
20230102:0130,5.71,18.4,12.2,0.0,2.58,15.86,2.14,0.0
20230102:0230,159.51,161.45,67.35,0.0,15.74,15.83,1.86,0.0
20230102:0330,355.09,356.21,97.25,0.0,28.25,19.49,1.93,0.0
20230102:0430,519.47,548.46,109.65,0.0,39.6,21.82,2.69,0.0
20230102:0530,624.45,682.86,119.1,0.0,48.8,23.82,3.1,0.0
20230102:0630,677.17,756.46,121.7,0.0,54.14,25.45,3.59,0.0
20230102:0730,673.91,754.81,120.3,0.0,53.87,26.35,3.86,0.0
20230102:0830,613.44,679.21,114.95,0.0,48.09,27.05,3.86,0.0
20230102:0930,498.73,538.51,105.05,0.0,38.63,27.32,3.72,0.0
20230102:1030,332.16,349.46,88.8,0.0,27.14,27.2,3.52,0.0
20230102:1130,132.39,144.6,61.4,0.0,14.56,26.7,3.31,0.0
20230102:1230,2.87,0.0,12.45,0.0,1.36,25.38,2.55,0.0
20230102:1330,0.0,0.0,0.0,0.0,0.0,23.44,2.76,0.0
20230102:1430,0.0,0.0,0.0,0.0,0.0,22.11,2.83,0.0
20230102:1530,0.0,0.0,0.0,0.0,0.0,21.14,2.76,0.0
20230102:1630,0.0,0.0,0.0,0.0,0.0,20.34,2.69,0.0
20230102:1730,0.0,0.0,0.0,0.0,0.0,19.59,2.62,0.0
20230102:1830,0.0,0.0,0.0,0.0,0.0,18.87,2.41,0.0
20230102:1930,0.0,0.0,0.0,0.0,0.0,18.18,2.07,0.0
20230102:2030,0.0,0.0,0.0,0.0,0.0,17.2,1.93,0.0
20230102:2130,0.0,0.0,0.0,0.0,0.0,16.28,1.93,0.0
20230102:2230,0.0,0.0,0.0,0.0,0.0,15.64,2.0,0.0
20230102:2330,0.0,0.0,0.0,0.0,0.0,15.17,2.07,0.0
20230103:0030,0.0,0.0,0.0,0.0,0.0,14.88,2.14,0.0
20230103:0130,5.43,17.45,12.03,0.0,2.51,14.7,2.14,0.0
20230103:0230,156.54,155.45,68.55,0.0,15.68,15.1,1.86,0.0
20230103:0330,352.78,351.26,97.55,0.0,28.2,19.0,2.14,0.0
20230103:0430,512.47,529.56,118.45,0.0,39.58,21.4,2.62,0.0
20230103:0530,618.84,672.61,120.85,0.0,48.82,23.37,2.97,0.0
20230103:0630,670.05,739.81,126.05,0.0,54.21,24.84,3.52,0.0
20230103:0730,659.16,725.06,130.55,0.0,53.98,25.63,3.38,0.0
20230103:0830,600.17,643.76,133.45,0.0,48.22,26.27,3.31,0.0
20230103:0930,476.71,490.36,124.1,0.0,38.77,26.64,3.24,0.0
20230103:1030,315.63,311.31,104.45,0.0,27.28,26.6,3.17,0.0
20230103:1130,126.49,129.3,66.3,0.0,14.69,26.26,3.1,0.0
20230103:1230,3.21,0.0,13.1,0.0,1.48,25.25,2.48,0.0
20230103:1330,0.0,0.0,0.0,0.0,0.0,23.58,2.41,0.0
20230103:1430,0.0,0.0,0.0,0.0,0.0,22.38,2.48,0.0
20230103:1530,0.0,0.0,0.0,0.0,0.0,21.37,2.55,0.0
20230103:1630,0.0,0.0,0.0,0.0,0.0,20.59,2.62,0.0
20230103:1730,0.0,0.0,0.0,0.0,0.0,19.91,2.62,0.0
20230103:1830,0.0,0.0,0.0,0.0,0.0,19.5,2.55,0.0
20230103:1930,0.0,0.0,0.0,0.0,0.0,19.12,2.48,0.0
20230103:2030,0.0,0.0,0.0,0.0,0.0,18.55,2.55,0.0
20230103:2130,0.0,0.0,0.0,0.0,0.0,18.05,2.34,0.0
20230103:2230,0.0,0.0,0.0,0.0,0.0,17.56,2.21,0.0
20230103:2330,0.0,0.0,0.0,0.0,0.0,17.23,2.0,0.0
20230104:0030,0.0,0.0,0.0,0.0,0.0,17.01,1.93,0.0
20230104:0130,5.55,13.3,13.51,0.0,2.44,16.74,1.93,0.0
20230104:0230,142.81,135.05,71.7,0.0,15.62,16.91,1.72,0.0
20230104:0330,348.0,342.81,99.85,0.0,28.17,18.95,2.14,0.0
20230104:0430,500.69,509.56,123.25,0.0,39.57,21.25,2.48,0.0
20230104:0530,618.25,668.26,122.95,0.0,48.85,23.17,3.03,0.0
20230104:0630,656.3,699.51,147.9,0.0,54.29,24.77,3.45,0.0
20230104:0730,664.78,733.31,130.35,0.0,54.11,25.63,3.38,0.0
20230104:0830,602.63,658.46,122.6,0.0,48.36,26.47,3.31,0.0
20230104:0930,492.63,527.91,108.0,0.0,38.91,26.8,3.24,0.0
20230104:1030,332.02,346.06,91.2,0.0,27.41,26.78,3.24,0.0
20230104:1130,134.29,143.6,63.5,0.0,14.82,26.32,3.17,0.0
20230104:1230,3.26,0.0,13.2,0.0,1.6,25.26,2.69,0.0
20230104:1330,0.0,0.0,0.0,0.0,0.0,23.41,2.69,0.0
20230104:1430,0.0,0.0,0.0,0.0,0.0,22.18,2.69,0.0
20230104:1530,0.0,0.0,0.0,0.0,0.0,21.33,2.69,0.0
20230104:1630,0.0,0.0,0.0,0.0,0.0,20.58,2.76,0.0
20230104:1730,0.0,0.0,0.0,0.0,0.0,20.07,3.03,0.0
20230104:1830,0.0,0.0,0.0,0.0,0.0,19.57,3.17,0.0
20230104:1930,0.0,0.0,0.0,0.0,0.0,18.9,2.83,0.0
20230104:2030,0.0,0.0,0.0,0.0,0.0,18.46,2.76,0.0
20230104:2130,0.0,0.0,0.0,0.0,0.0,18.06,2.69,0.0
20230104:2230,0.0,0.0,0.0,0.0,0.0,17.7,2.69,0.0
20230104:2330,0.0,0.0,0.0,0.0,0.0,17.74,2.76,0.0
20230105:0030,0.0,0.0,0.0,0.0,0.0,17.92,2.9,0.0
20230105:0130,3.78,8.05,11.85,0.0,2.37,17.89,2.83,0.0
20230105:0230,101.71,79.95,70.75,0.0,15.57,17.89,2.55,0.0
20230105:0330,232.86,161.6,135.45,0.0,28.13,18.87,3.66,0.0
20230105:0430,424.91,360.01,167.5,0.0,39.56,19.94,3.52,0.0
20230105:0530,595.39,604.21,146.75,0.0,48.88,21.53,3.38,0.0
20230105:0630,649.19,652.36,178.5,0.0,54.38,23.23,3.52,0.0
20230105:0730,646.52,680.96,149.55,0.0,54.23,24.64,3.72,0.0
20230105:0830,602.39,629.41,145.2,0.0,48.51,25.61,3.72,0.0
20230105:0930,460.54,458.86,131.45,0.0,39.06,26.32,3.59,0.0
20230105:1030,300.21,293.01,101.4,0.0,27.55,26.52,3.59,0.0
20230105:1130,121.96,122.6,65.5,0.0,14.95,26.26,3.59,0.0
20230105:1230,3.79,0.0,14.2,0.0,1.73,25.27,3.1,0.0
20230105:1330,0.0,0.0,0.0,0.0,0.0,23.57,3.24,0.0
20230105:1430,0.0,0.0,0.0,0.0,0.0,22.55,3.38,0.0
20230105:1530,0.0,0.0,0.0,0.0,0.0,21.78,3.31,0.0
20230105:1630,0.0,0.0,0.0,0.0,0.0,21.04,3.17,0.0
20230105:1730,0.0,0.0,0.0,0.0,0.0,20.44,3.03,0.0
20230105:1830,0.0,0.0,0.0,0.0,0.0,19.86,2.97,0.0
20230105:1930,0.0,0.0,0.0,0.0,0.0,19.53,2.76,0.0
20230105:2030,0.0,0.0,0.0,0.0,0.0,19.09,2.62,0.0
20230105:2130,0.0,0.0,0.0,0.0,0.0,18.5,2.34,0.0
20230105:2230,0.0,0.0,0.0,0.0,0.0,18.08,2.07,0.0
20230105:2330,0.0,0.0,0.0,0.0,0.0,17.53,2.0,0.0
20230106:0030,0.0,0.0,0.0,0.0,0.0,16.95,2.07,0.0
20230106:0130,4.72,15.7,11.68,0.0,2.3,16.63,2.07,0.0
20230106:0230,133.22,115.4,77.2,0.0,15.52,16.72,2.0,0.0
20230106:0330,331.82,315.76,104.25,0.0,28.1,18.58,2.69,0.0
20230106:0430,510.75,521.56,117.15,0.0,39.56,20.6,3.38,0.0
20230106:0530,623.04,665.66,126.0,0.0,48.92,22.4,3.38,0.0
20230106:0630,672.23,738.46,126.25,0.0,54.47,24.1,3.59,0.0
20230106:0730,666.85,736.51,125.0,0.0,54.37,25.47,3.79,0.0
20230106:0830,603.29,654.51,121.8,0.0,48.66,26.42,4.0,0.0
20230106:0930,481.45,501.26,116.25,0.0,39.2,26.97,4.07,0.0
20230106:1030,206.12,134.65,140.4,0.0,27.69,27.21,4.14,0.0
20230106:1130,72.76,14.35,96.4,0.0,15.08,26.68,3.93,0.0
20230106:1230,2.87,0.0,12.45,0.0,1.85,25.85,3.66,0.0
20230106:1330,0.0,0.0,0.0,0.0,0.0,24.57,3.72,0.0
20230106:1430,0.0,0.0,0.0,0.0,0.0,23.86,3.86,0.0
20230106:1530,0.0,0.0,0.0,0.0,0.0,22.96,3.59,0.0
20230106:1630,0.0,0.0,0.0,0.0,0.0,22.28,3.38,0.0
20230106:1730,0.0,0.0,0.0,0.0,0.0,21.26,3.17,0.0
20230106:1830,0.0,0.0,0.0,0.0,0.0,20.36,3.03,0.0
20230106:1930,0.0,0.0,0.0,0.0,0.0,19.48,2.69,0.0
20230106:2030,0.0,0.0,0.0,0.0,0.0,18.8,2.48,0.0
20230106:2130,0.0,0.0,0.0,0.0,0.0,18.14,2.34,0.0
20230106:2230,0.0,0.0,0.0,0.0,0.0,17.55,2.21,0.0
20230106:2330,0.0,0.0,0.0,0.0,0.0,17.06,2.21,0.0
20230107:0030,0.0,0.0,0.0,0.0,0.0,16.66,2.14,0.0
20230107:0130,3.94,0.0,14.05,0.0,2.24,16.31,2.21,0.0
20230107:0230,148.43,147.75,67.35,0.0,15.47,16.51,2.07,0.0
20230107:0330,347.03,345.01,94.3,0.0,28.08,18.61,2.69,0.0
20230107:0430,512.07,531.31,110.5,0.0,39.57,20.74,3.17,0.0
20230107:0530,618.61,665.36,119.6,0.0,48.97,22.59,3.52,0.0
20230107:0630,649.3,678.76,154.25,0.0,54.57,24.17,3.66,0.0
20230107:0730,627.68,642.46,162.3,0.0,54.51,25.06,3.93,0.0
20230107:0830,492.44,417.41,211.95,0.0,48.82,26.3,3.93,0.0
20230107:0930,253.39,73.25,257.85,0.0,39.36,26.83,3.79,0.0
20230107:1030,91.06,5.85,125.5,0.0,27.84,26.39,3.72,0.0
20230107:1130,23.07,2.35,41.7,0.0,15.21,25.43,3.79,0.0
20230107:1230,1.62,0.0,9.85,0.0,1.98,24.51,3.66,0.0
20230107:1330,0.0,0.0,0.0,0.0,0.0,23.72,3.45,0.0
20230107:1430,0.0,0.0,0.0,0.0,0.0,22.83,3.1,0.0
20230107:1530,0.0,0.0,0.0,0.0,0.0,22.2,2.97,0.0
20230107:1630,0.0,0.0,0.0,0.0,0.0,21.37,2.76,0.0
20230107:1730,0.0,0.0,0.0,0.0,0.0,20.55,2.62,0.0
20230107:1830,0.0,0.0,0.0,0.0,0.0,19.94,2.48,0.0
20230107:1930,0.0,0.0,0.0,0.0,0.0,19.67,2.07,0.0
20230107:2030,0.0,0.0,0.0,0.0,0.0,19.13,2.28,0.0
20230107:2130,0.0,0.0,0.0,0.0,0.0,18.67,2.28,0.0
20230107:2230,0.0,0.0,0.0,0.0,0.0,18.1,2.21,0.0
20230107:2330,0.0,0.0,0.0,0.0,0.0,17.76,2.0,0.0
20230108:0030,0.0,0.0,0.0,0.0,0.0,17.3,1.86,0.0
20230108:0130,4.21,0.0,14.55,0.0,2.18,16.76,1.72,0.0
20230108:0230,137.62,132.95,67.9,0.0,15.43,16.73,1.38,0.0
20230108:0330,334.85,324.01,104.65,0.0,28.06,19.7,1.79,0.0
20230108:0430,486.28,466.31,146.25,0.0,39.58,21.88,3.17,0.0
20230108:0530,555.63,547.26,158.0,0.0,49.02,23.56,3.38,0.0
20230108:0630,580.94,581.16,162.2,0.0,54.68,24.84,3.38,0.0
20230108:0730,537.3,456.71,234.6,0.0,54.66,25.34,2.97,0.0
20230108:0830,404.97,303.95,216.15,0.0,48.98,26.08,2.55,0.0
20230108:0930,341.23,282.55,158.2,0.0,39.51,26.4,2.14,0.0
20230108:1030,259.78,209.9,134.6,0.0,27.98,26.55,2.0,0.0
20230108:1130,86.54,57.95,76.5,0.0,15.35,26.55,1.93,0.0
20230108:1230,3.33,0.0,13.35,0.0,2.1,25.72,1.72,0.0
20230108:1330,0.0,0.0,0.0,0.0,0.0,24.41,1.86,0.0
20230108:1430,0.0,0.0,0.0,0.0,0.0,23.17,2.0,0.0
20230108:1530,0.0,0.0,0.0,0.0,0.0,22.06,2.21,0.0
20230108:1630,0.0,0.0,0.0,0.0,0.0,21.03,2.34,0.0
20230108:1730,0.0,0.0,0.0,0.0,0.0,20.07,2.34,0.0
20230108:1830,0.0,0.0,0.0,0.0,0.0,19.16,2.34,0.0
20230108:1930,0.0,0.0,0.0,0.0,0.0,18.38,2.14,0.0
20230108:2030,0.0,0.0,0.0,0.0,0.0,17.85,2.48,0.0
20230108:2130,0.0,0.0,0.0,0.0,0.0,17.66,2.69,0.0
20230108:2230,0.0,0.0,0.0,0.0,0.0,17.29,2.83,0.0
20230108:2330,0.0,0.0,0.0,0.0,0.0,16.83,2.69,0.0
20230109:0030,0.0,0.0,0.0,0.0,0.0,16.44,2.48,0.0
20230109:0130,5.37,0.0,16.5,0.0,2.12,16.12,2.41,0.0
20230109:0230,128.77,95.4,88.95,0.0,15.39,16.3,2.28,0.0
20230109:0330,304.93,235.95,147.85,0.0,28.04,17.97,3.45,0.0
20230109:0430,451.69,408.51,155.2,0.0,39.59,20.02,2.9,0.0
20230109:0530,623.77,671.86,126.2,0.0,49.08,21.86,2.55,0.0
20230109:0630,677.73,754.56,126.85,0.0,54.79,23.85,2.69,0.0
20230109:0730,677.87,760.61,123.65,0.0,54.82,25.1,2.97,0.0
20230109:0830,621.22,691.66,117.6,0.0,49.15,26.11,2.9,0.0
20230109:0930,510.98,554.51,108.4,0.0,39.68,26.7,2.76,0.0
20230109:1030,348.32,367.26,92.0,0.0,28.13,26.88,2.62,0.0
20230109:1130,148.59,162.0,63.9,0.0,15.49,26.6,2.55,0.0
20230109:1230,4.25,0.0,15.05,0.0,2.22,25.5,2.0,0.0
20230109:1330,0.0,0.0,0.0,0.0,0.0,23.43,2.48,0.0
20230109:1430,0.0,0.0,0.0,0.0,0.0,21.8,2.55,0.0
20230109:1530,0.0,0.0,0.0,0.0,0.0,20.5,2.62,0.0
20230109:1630,0.0,0.0,0.0,0.0,0.0,19.39,2.55,0.0
20230109:1730,0.0,0.0,0.0,0.0,0.0,18.4,2.48,0.0
20230109:1830,0.0,0.0,0.0,0.0,0.0,17.43,2.41,0.0
20230109:1930,0.0,0.0,0.0,0.0,0.0,16.44,2.34,0.0
20230109:2030,0.0,0.0,0.0,0.0,0.0,15.54,2.34,0.0
20230109:2130,0.0,0.0,0.0,0.0,0.0,14.71,2.34,0.0
20230109:2230,0.0,0.0,0.0,0.0,0.0,13.95,2.28,0.0
20230109:2330,0.0,0.0,0.0,0.0,0.0,13.28,2.28,0.0
20230110:0030,0.0,0.0,0.0,0.0,0.0,12.72,2.28,0.0
20230110:0130,4.84,0.0,15.4,0.0,2.07,12.25,2.28,0.0
20230110:0230,163.01,166.1,65.6,0.0,15.35,12.38,1.86,0.0
20230110:0330,373.3,379.11,92.6,0.0,28.03,16.82,1.79,0.0
20230110:0430,539.58,572.11,108.2,0.0,39.61,19.74,2.34,0.0
20230110:0530,649.02,713.86,117.45,0.0,49.15,22.04,2.83,0.0
20230110:0630,700.04,788.46,121.3,0.0,54.91,23.91,3.03,0.0
20230110:0730,695.64,790.51,120.05,0.0,54.98,25.17,2.97,0.0
20230110:0830,637.27,716.61,114.8,0.0,49.32,26.25,3.03,0.0
20230110:0930,524.71,574.71,105.25,0.0,39.84,26.87,3.1,0.0
20230110:1030,358.86,381.81,90.0,0.0,28.28,27.0,3.1,0.0
20230110:1130,154.01,168.45,64.3,0.0,15.62,26.58,3.1,0.0
20230110:1230,4.24,18.3,10.57,0.0,2.35,25.33,2.41,0.0
20230110:1330,0.0,0.0,0.0,0.0,0.0,23.1,2.69,0.0
20230110:1430,0.0,0.0,0.0,0.0,0.0,21.54,2.69,0.0
20230110:1530,0.0,0.0,0.0,0.0,0.0,20.33,2.62,0.0
20230110:1630,0.0,0.0,0.0,0.0,0.0,19.34,2.55,0.0
20230110:1730,0.0,0.0,0.0,0.0,0.0,18.5,2.55,0.0
20230110:1830,0.0,0.0,0.0,0.0,0.0,17.7,2.48,0.0
20230110:1930,0.0,0.0,0.0,0.0,0.0,17.01,2.28,0.0
20230110:2030,0.0,0.0,0.0,0.0,0.0,16.14,2.21,0.0
20230110:2130,0.0,0.0,0.0,0.0,0.0,15.23,2.07,0.0
20230110:2230,0.0,0.0,0.0,0.0,0.0,14.28,1.93,0.0
20230110:2330,0.0,0.0,0.0,0.0,0.0,13.45,1.86,0.0
20230111:0030,0.0,0.0,0.0,0.0,0.0,12.9,1.72,0.0
20230111:0130,4.77,0.0,15.3,0.0,2.02,12.47,1.72,0.0
20230111:0230,160.64,163.45,65.8,0.0,15.32,12.78,1.52,0.0
20230111:0330,368.1,376.36,92.8,0.0,28.02,17.36,1.1,0.0
20230111:0430,529.46,569.81,108.7,0.0,39.64,20.38,1.24,0.0
20230111:0530,635.72,713.56,117.4,0.0,49.22,22.74,1.59,0.0
20230111:0630,689.36,789.26,121.4,0.0,55.04,24.71,2.14,0.0
20230111:0730,690.88,792.26,119.85,0.0,55.15,25.95,2.62,0.0
20230111:0830,634.83,719.71,114.5,0.0,49.49,27.0,2.76,0.0
20230111:0930,524.32,578.96,105.15,0.0,40.01,27.56,2.76,0.0
20230111:1030,360.82,386.66,89.95,0.0,28.44,27.7,2.83,0.0
20230111:1130,156.74,172.65,64.5,0.0,15.76,27.34,2.76,0.0
20230111:1230,4.64,19.45,10.83,0.0,2.48,26.0,2.14,0.0
20230111:1330,0.0,0.0,0.0,0.0,0.0,23.79,2.55,0.0
20230111:1430,0.0,0.0,0.0,0.0,0.0,22.02,2.62,0.0
20230111:1530,0.0,0.0,0.0,0.0,0.0,20.66,2.55,0.0
