episode,total_reward,avg_loss
1,150.0995,0.0
2,35.8725,0.0
3,108.7185,0.0
4,129.4643,0.0
5,153.186,0.0
6,167.436,0.0
7,79.6,0.0
8,188.6935,0.0
9,158.3258,0.0
10,213.275,0.0
11,161.303,0.0
12,184.2358,0.0
13,175.8825,0.0
14,148.5407,0.0
15,207.525,0.0
16,133.6715,0.0
17,156.7025,0.0
18,72.7048,0.0
19,99.7195,0.0
20,233.6827,0.0
21,184.3463,0.0
22,236.322,0.0
23,179.6422,0.0
24,94.951,0.0
25,240.5038,0.0
26,128.339,0.0
27,321.179,0.0
28,266.1275,0.0
29,248.786,0.0
30,280.345,0.0
31,232.1592,0.0
32,293.444,0.0
33,281.0528,0.0
34,333.4417,0.0
35,239.9517,0.0
36,333.5628,0.0
37,101.401,0.0
38,344.1635,0.0
39,209.9603,0.0
40,163.5318,0.0
41,256.908,0.0
42,336.9283,0.0
43,296.5582,0.0
44,351.0295,0.0
45,301.8042,0.0
46,298.5728,0.0
47,289.0975,0.0
48,137.8575,0.0
49,248.753,0.0
50,204.641,0.0
51,99.0795,0.0
52,293.1865,0.0
53,129.9688,0.0
54,130.8038,0.0
55,124.54,0.0
56,104.46,0.0
57,295.5045,0.0
58,253.5115,0.0
59,266.281,0.0
60,135.0802,0.0
61,254.536,0.0
62,114.2583,0.0
63,342.2307,0.0
64,106.3833,0.0
65,280.1915,0.0
66,133.6715,0.0
67,75.5798,0.0
68,117.2648,0.0
69,417.7995,0.0
70,307.3722,0.0
71,102.2182,0.0
72,305.1843,0.0
73,182.055,0.0
74,311.636,0.0
75,115.677,0.0
76,298.319,0.0
77,246.9443,0.0
78,140.9937,0.0
79,141.425,0.0
80,162.7582,0.0
81,171.1993,0.0
82,207.9537,0.0
83,146.4103,0.0
84,283.431,0.0
85,335.621,0.0
86,267.4952,0.0
87,256.209,0.0
88,235.2683,0.0
89,261.6797,0.0
90,139.4273,0.0
91,122.1233,0.0
92,221.2297,0.0
93,174.9988,0.0
94,209.888,0.0
95,116.5912,0.0
96,46.762,0.0
97,106.308,0.0
98,157.8745,0.0
99,174.2857,0.0
100,123.2665,0.0
101,97.4972,0.0
102,100.9102,0.0
103,139.8868,0.0
104,139.1948,0.0
105,143.212,0.0
106,186.6852,0.0
107,295.174,0.0
108,71.6107,0.0
109,103.4925,0.0
110,200.5048,0.0
111,148.3335,0.0
112,145.2107,0.0
113,153.205,0.0
114,157.516,0.0
115,193.2568,0.0
116,172.6262,0.0
117,139.0945,0.0
118,276.7665,0.0
119,84.9445,0.0
120,399.816,0.0
121,271.1215,0.0
122,146.007,0.0
123,82.4315,0.0
124,267.6313,0.0
125,140.6905,0.0
126,175.6715,0.0
127,233.541,0.0
128,343.7738,0.0
129,85.4702,0.0
130,280.3225,0.0
131,315.3998,0.0
132,284.0555,0.0
133,157.645,0.0
134,291.5473,0.0
135,210.6785,0.0
136,348.72,0.0
137,102.0062,0.0
138,159.0318,0.0
139,68.5608,0.0
140,177.6113,0.0
141,185.677,0.0
142,226.9157,0.0
143,274.5843,0.0
144,234.884,0.0
145,266.2305,0.0
146,81.971,0.0
147,244.801,0.0
148,279.3007,0.0
