episode,total_reward,avg_loss
1,70.0,-0.014398
2,85.0,-0.014194
3,85.0,-0.014061
4,85.0,-0.014132
5,90.0,-0.014058
6,70.0,-0.013904
7,100.0,-0.014126
8,120.0,-0.01399
9,115.0,-0.014081
10,115.0,-0.014123
11,105.0,-0.014136
12,90.0,-0.013941
13,90.0,-0.01406
14,70.0,-0.014202
15,120.0,-0.0141
16,105.0,-0.014016
17,125.0,-0.013997
18,70.0,-0.013947
19,90.0,-0.01412
20,80.0,-0.014455
21,115.0,-0.013876
22,80.0,-0.014146
23,60.0,-0.014175
24,80.0,-0.014412
25,110.0,-0.015262
26,110.0,-0.014905
27,115.0,-0.014104
28,135.0,-0.013994
29,110.0,-0.015211
30,145.0,-0.016868
31,175.0,-0.014643
32,165.0,-0.013686
33,180.0,-0.014227
34,175.0,-0.014898
35,195.0,-0.013942
36,165.0,-0.013859
37,200.0,-0.014485
38,210.0,-0.014541
39,210.0,-0.014463
40,150.0,-0.014469
41,200.0,-0.014804
42,195.0,-0.015346
43,145.0,-0.0148
44,205.0,-0.015929
45,270.0,-0.014757
46,200.0,-0.012826
47,260.0,-0.014141
48,290.0,-0.013348
49,275.0,-0.014164
50,300.0,-0.013332
51,300.0,-0.01453
52,325.0,-0.013954
53,280.0,-0.014341
54,280.0,-0.015802
55,345.0,-0.013617
56,375.0,-0.012488
57,375.0,-0.013015
58,375.0,-0.014076
59,345.0,-0.012381
60,380.0,-0.012362
61,375.0,-0.013579
62,375.0,-0.014227
63,355.0,-0.013911
64,320.0,-0.016037
65,365.0,-0.011563
66,345.0,-0.014511
67,325.0,-0.011423
68,325.0,-0.014768
69,375.0,-0.012313
70,285.0,-0.014444
71,300.0,-0.015363
72,275.0,-0.016075
73,290.0,-0.012147
74,210.0,-0.013959
75,285.0,-0.016365
76,180.0,-0.013154
77,255.0,-0.014186
78,195.0,-0.019028
79,255.0,-0.01661
80,225.0,-0.012869
81,220.0,-0.013502
82,255.0,-0.013731
83,310.0,-0.014227
84,325.0,-0.012928
85,310.0,-0.013768
86,295.0,-0.013622
87,310.0,-0.013629
88,335.0,-0.015656
89,250.0,-0.01285
90,275.0,-0.014508
91,260.0,-0.014173
92,240.0,-0.013536
93,240.0,-0.015037
94,255.0,-0.013086
95,265.0,-0.014982
96,290.0,-0.014037
97,320.0,-0.015637
98,290.0,-0.011837
99,300.0,-0.01422
100,345.0,-0.014333
101,370.0,-0.01409
102,355.0,-0.014221
103,415.0,-0.010951
104,420.0,-0.011673
105,405.0,-0.012406
106,380.0,-0.013014
107,380.0,-0.011694
108,440.0,-0.012837
109,390.0,-0.015034
110,380.0,-0.012678
111,410.0,-0.012764
112,430.0,-0.011278
113,360.0,-0.011247
114,400.0,-0.013196
115,365.0,-0.013471
116,335.0,-0.013818
117,370.0,-0.013565
118,345.0,-0.012346
119,400.0,-0.011992
120,400.0,-0.012414
121,350.0,-0.012546
122,395.0,-0.013977
123,385.0,-0.01205
124,385.0,-0.012398
125,440.0,-0.012743
126,395.0,-0.012321
127,385.0,-0.013459
128,430.0,-0.012042
129,395.0,-0.011942
130,410.0,-0.012577
131,465.0,-0.011839
132,435.0,-0.010968
133,405.0,-0.012959
134,425.0,-0.011964
135,465.0,-0.011517
136,440.0,-0.01182
137,445.0,-0.011361
138,435.0,-0.013618
139,420.0,-0.010856
140,415.0,-0.012737
141,430.0,-0.009793
142,425.0,-0.012545
143,450.0,-0.011235
144,470.0,-0.011103
145,410.0,-0.010539
146,450.0,-0.011094
147,425.0,-0.010502
148,440.0,-0.012626
149,470.0,-0.011039
150,415.0,-0.010848
151,435.0,-0.010755
152,425.0,-0.011438
153,420.0,-0.011406
154,410.0,-0.011797
155,465.0,-0.011881
156,425.0,-0.014331
157,465.0,-0.012642
158,430.0,-0.011227
159,375.0,-0.010821
160,435.0,-0.011537
161,450.0,-0.011933
162,440.0,-0.013012
163,380.0,-0.011806
164,420.0,-0.01208
165,395.0,-0.011467
166,405.0,-0.012123
167,415.0,-0.012366
168,440.0,-0.012768
169,445.0,-0.01258
170,445.0,-0.011816
171,455.0,-0.013559
172,460.0,-0.011276
173,465.0,-0.013818
174,470.0,-0.009254
175,480.0,-0.011517
176,450.0,-0.010772
177,465.0,-0.011115
178,480.0,-0.008187
179,480.0,-0.010171
180,460.0,-0.010922
181,470.0,-0.008603
182,465.0,-0.009294
183,475.0,-0.009975
184,475.0,-0.010165
185,445.0,-0.009848
186,470.0,-0.012703
187,440.0,-0.011661
188,475.0,-0.009896
189,465.0,-0.00924
190,440.0,-0.008809
191,455.0,-0.009988
192,455.0,-0.010456
193,470.0,-0.012747
194,465.0,-0.009473
195,440.0,-0.01212
196,475.0,-0.010671
197,435.0,-0.009281
198,470.0,-0.011815
199,450.0,-0.010812
200,455.0,-0.012684
201,440.0,-0.011877
202,455.0,-0.008802
203,420.0,-0.012437
204,475.0,-0.009759
205,360.0,-0.013356
206,380.0,-0.010847
207,425.0,-0.013291
208,380.0,-0.009997
209,420.0,-0.010606
210,435.0,-0.014384
211,430.0,-0.01288
212,430.0,-0.00985
213,420.0,-0.010781
214,405.0,-0.011247
215,475.0,-0.009258
216,420.0,-0.009648
217,415.0,-0.009488
218,425.0,-0.011954
219,455.0,-0.009836
220,430.0,-0.013317
221,405.0,-0.010249
222,455.0,-0.010892
223,425.0,-0.009441
224,465.0,-0.011372
225,450.0,-0.011039
226,440.0,-0.015354
227,435.0,-0.009153
228,460.0,-0.010266
229,465.0,-0.010408
230,480.0,-0.009494
231,475.0,-0.011539
232,460.0,-0.010573
233,455.0,-0.01199
234,475.0,-0.01391
235,470.0,-0.013452
236,480.0,-0.00859
237,470.0,-0.011444
238,470.0,-0.009604
239,470.0,-0.013186
240,470.0,-0.009706
241,475.0,-0.010596
242,480.0,-0.012187
243,480.0,-0.009652
244,480.0,-0.009393
245,470.0,-0.011947
246,480.0,-0.012077
247,480.0,-0.006961
248,475.0,-0.010348
249,475.0,-0.008386
250,480.0,-0.01096
251,475.0,-0.008968
252,480.0,-0.009332
253,480.0,-0.008852
254,475.0,-0.008985
255,475.0,-0.008854
256,480.0,-0.009631
257,480.0,-0.009354
258,475.0,-0.009323
259,480.0,-0.009948
260,475.0,-0.011835
261,475.0,-0.008879
262,470.0,-0.008299
263,480.0,-0.007747
264,480.0,-0.008986
265,480.0,-0.010713
266,475.0,-0.006551
267,480.0,-0.00913
268,475.0,-0.01053
269,475.0,-0.007363
270,480.0,-0.007937
271,475.0,-0.008918
272,480.0,-0.010291
273,465.0,-0.011206
274,480.0,-0.009219
275,480.0,-0.00977
276,480.0,-0.011472
277,475.0,-0.010984
278,470.0,-0.008576
279,475.0,-0.010217
280,475.0,-0.012812
281,475.0,-0.009249
282,480.0,-0.008165
283,470.0,-0.009948
284,480.0,-0.010197
285,480.0,-0.00969
286,475.0,-0.00823
287,480.0,-0.010569
288,480.0,-0.011567
289,480.0,-0.006773
290,475.0,-0.00675
291,480.0,-0.007748
292,480.0,-0.009718
293,480.0,-0.009084
294,475.0,-0.007312
295,480.0,-0.009439
296,480.0,-0.010462
297,480.0,-0.009866
298,470.0,-0.010732
299,480.0,-0.008299
300,480.0,-0.008712
