episode,total_reward,avg_loss
1,-264.2543,0.526938
2,45.0558,1.083808
3,-501.1064,1.144099
4,1.2332,1.353284
5,-171.1406,1.147367
6,-327.9698,1.204654
7,-65.0677,1.303739
8,-157.6712,1.091549
9,-94.2368,1.122485
10,-698.0171,1.168238
11,-159.4643,1.263302
12,-86.8321,1.122236
13,-97.0743,1.092946
14,-123.8621,1.110445
15,-549.4801,1.131831
16,-88.5961,1.127073
17,-33.7791,1.253395
18,-300.6611,1.111278
19,-88.8123,1.125163
20,-238.6468,1.215266
21,-132.9194,1.167017
22,-4.8051,1.106457
23,-158.6127,1.056072
24,-47.4579,1.09095
25,-279.4952,1.094728
26,-137.6855,1.052185
27,-272.6759,0.941884
28,-264.583,1.015806
29,-129.8468,1.047296
30,-108.7586,0.961093
31,-141.6406,0.966951
32,-244.6009,0.984656
33,-87.7018,0.989766
34,-130.7705,1.074996
35,-88.3126,0.957522
36,-597.4693,0.913655
37,-408.4254,1.048466
38,-641.0933,1.064488
39,-139.9919,1.104997
40,-74.5321,1.05234
41,-136.9066,1.075461
42,-83.2707,1.086304
43,-204.8051,1.025453
44,-151.4668,1.007547
45,-203.4376,1.000284
46,-109.2325,1.036588
47,-107.2351,1.001896
48,-113.1479,0.997628
49,-172.474,0.998096
50,-154.6603,0.938351
51,-104.3813,1.051219
52,-133.2625,1.043123
53,-146.936,1.022067
54,-127.2061,0.904155
55,-94.1346,0.965777
56,-131.1925,0.922886
57,-129.6677,1.005266
58,-157.1886,0.885613
59,-337.5203,0.915432
60,-114.7574,0.899325
61,-115.9417,0.978288
62,-143.5716,0.926707
63,-380.1427,0.892033
64,-175.3393,0.968304
65,-201.242,0.909472
66,-52.7127,0.965187
67,-204.5689,0.91275
68,-178.8312,0.900598
69,-506.9032,0.840737
70,-127.7487,0.957488
71,-154.2545,0.939573
72,-308.4581,0.983488
73,-202.1589,0.935534
74,-174.026,1.012733
75,-187.3106,0.994092
76,-996.6643,0.929742
77,-169.6409,0.961329
78,-85.7442,0.937408
79,-549.0811,0.967175
80,-443.5793,1.02606
81,-200.7889,1.042914
82,-161.9631,0.945246
83,-154.0169,1.041913
84,-198.0744,1.022167
85,-249.3118,1.07361
86,-178.8341,1.022947
87,-162.0251,1.002208
88,-213.467,0.965663
89,-245.8194,0.949919
90,-189.6418,0.920719
91,-206.095,0.953233
92,-187.8021,1.088825
93,-860.8047,0.959952
94,-216.099,1.068222
95,-204.1407,1.013582
96,-732.8812,1.071706
97,-200.3117,1.092114
98,-246.4868,0.993638
99,-736.7278,0.976763
100,-181.6777,1.093539
101,-147.9023,1.119888
102,-760.1073,1.04931
103,-218.622,1.090291
104,-260.2824,1.154877
105,-206.6469,1.073977
106,-252.491,1.1821
107,-328.5807,1.164451
108,-247.7595,1.052691
109,-237.9356,1.107199
110,-227.7705,1.0788
111,-675.8221,1.138845
112,-206.6134,1.176435
113,-464.4359,1.26203
114,-224.9574,1.221898
115,-253.1691,1.143662
116,-47.4421,1.061668
117,-248.6786,1.067612
118,-289.1983,1.110904
119,-582.5936,1.166198
120,-271.7528,1.112181
121,-220.5987,1.244867
122,-238.1413,1.164302
123,-232.8234,1.162492
124,-240.93,1.145522
125,-237.8875,1.106659
126,-192.185,1.252726
127,-213.9226,1.156771
128,-231.8776,1.217239
129,-240.663,1.106627
130,-245.855,1.158491
131,-199.7077,1.205397
132,-250.6261,1.169038
133,-327.9034,1.160497
134,-139.1482,1.117066
135,-282.0681,1.200083
136,-249.9172,1.124645
137,-284.6432,1.126313
138,-246.9623,1.253808
139,-245.7542,1.153361
140,-518.2048,1.264272
141,-1282.3622,1.313914
142,-273.0526,1.285651
143,-258.4197,1.188829
144,-261.0393,1.233849
145,-242.3716,1.202339
146,-216.1476,1.23727
147,-238.7302,1.237892
148,-294.4442,1.185295
149,-236.048,1.186236
150,-246.0096,1.125433
151,-266.4338,1.279246
152,-831.8053,1.223141
153,-295.1639,1.212579
154,-245.0249,1.178862
155,-277.9677,1.352934
156,-227.841,1.264746
157,-204.3166,1.281655
158,-196.4493,1.339025
159,-284.909,1.286329
160,-199.2529,1.355665
161,-262.412,1.379975
162,-210.7245,1.232962
163,-149.7026,1.406718
164,-246.4364,1.334404
165,-282.042,1.460241
166,-919.4779,1.360575
167,-261.3726,1.367976
168,-226.349,1.484534
169,-267.1249,1.320744
170,-258.4631,1.39668
171,-269.0062,1.549961
172,-209.1238,1.393487
173,-437.7069,1.464477
174,-302.7628,1.323902
175,-244.1923,1.324436
176,-278.3297,1.314517
177,-228.3848,1.466565
178,-291.1157,1.455016
179,-262.5878,1.340435
180,-237.1729,1.519669
181,-253.4408,1.398757
182,-253.3704,1.31827
183,-261.7872,1.328499
184,-261.0147,1.427852
185,-249.1365,1.404469
186,-279.0542,1.299542
187,-352.0375,1.308063
188,-317.3039,1.552276
189,-294.0326,1.497035
190,-284.453,1.432923
191,-302.8164,1.548771
192,-232.7785,1.533411
193,-255.4777,1.512164
194,-289.5184,1.557559
195,-317.7947,1.442443
196,-269.0918,1.318462
197,-248.6588,1.331119
198,-174.3739,1.32737
199,-207.284,1.444942
200,-227.0628,1.189514
201,-243.1105,1.530238
202,-267.454,1.593178
203,-267.9468,1.283805
204,-234.7189,1.352811
205,-641.8048,1.458384
206,-242.7592,1.591729
207,-232.5453,1.294231
208,-218.6652,1.233683
209,-251.7552,1.408437
210,-270.1009,1.534732
211,-264.0503,1.454255
212,-245.7591,1.5643
213,-258.5523,1.447598
214,-256.9928,1.504768
215,-240.5184,1.588203
216,-249.3425,1.468705
217,-321.5793,1.580292
218,-293.0034,1.598472
219,-260.629,1.435424
220,-295.2106,1.400083
221,-260.7727,1.462647
222,-282.6006,1.557066
223,-271.4501,1.662798
224,-274.5996,1.490823
225,-275.8991,1.517455
226,-336.1833,1.321471
227,-307.8068,1.551968
228,-246.4726,1.346549
229,-271.8466,1.396792
230,-226.6924,1.620151
231,-306.8728,1.767865
232,-319.8767,1.723392
233,-359.8162,1.53651
234,-325.5133,1.463543
235,-299.0434,1.647864
236,-321.2577,1.568634
237,-343.0393,1.392095
238,-349.521,1.411147
239,-256.9648,1.668169
240,-357.3339,1.451765
241,-258.7947,1.653674
242,-347.5411,1.601825
243,-304.1547,1.678205
244,-291.4662,1.76448
245,-260.3979,1.582759
246,-306.9654,1.795361
247,-467.1896,1.883053
248,-294.0429,1.901411
249,-262.2012,1.42864
250,-297.9876,1.511627
251,-249.9173,1.842488
252,-277.5601,1.687356
253,-320.0489,1.868169
254,-274.3173,1.667594
255,-284.5061,1.571726
256,-286.6461,1.720583
257,-280.582,1.501204
258,-315.7463,2.139714
259,-307.6022,1.587523
260,-249.5791,1.508381
261,-256.0652,1.979941
262,-329.4993,1.625377
263,-341.5097,2.095356
264,-307.4955,1.858651
265,-328.6394,1.851244
266,-295.3725,1.795751
267,-318.5278,1.732293
268,-340.2473,1.690514
269,-277.5725,1.439977
270,-271.2159,2.104143
271,-279.0059,2.291257
272,-316.8528,2.146976
273,-281.9673,1.800379
274,-273.6693,1.894654
275,-335.3859,1.914842
276,-332.3493,1.788892
277,-362.4053,1.732812
278,-349.5316,1.969246
279,-340.8833,1.708325
280,-354.8145,1.738088
281,-353.6435,1.663197
282,-345.8984,2.260286
283,-365.7253,1.995122
284,-362.9026,1.656444
285,-357.1616,1.566513
286,-329.7967,1.954726
287,-392.3457,1.880911
288,-361.8943,2.047371
289,-360.1634,1.763299
290,-339.4548,1.850488
291,-356.9585,1.987411
292,-343.9863,1.909587
293,-412.9091,2.380938
294,-358.2061,1.661956
295,-370.5853,2.035886
296,-356.3637,1.830928
297,-351.5049,1.872269
298,-379.659,1.915432
299,-349.5704,2.576739
300,-341.2549,2.206348
