num_agents,episode,reward
5,1,75.0
5,2,50.0
5,3,70.0
5,4,100.0
5,5,55.0
5,6,40.0
5,7,85.0
5,8,60.0
5,9,25.0
5,10,45.0
5,11,80.0
5,12,50.0
5,13,75.0
5,14,75.0
5,15,85.0
5,16,75.0
5,17,105.0
5,18,50.0
5,19,50.0
5,20,105.0
5,21,45.0
5,22,35.0
5,23,80.0
5,24,125.0
5,25,25.0
5,26,35.0
5,27,0.0
5,28,60.0
5,29,45.0
5,30,55.0
5,31,50.0
5,32,45.0
5,33,115.0
5,34,30.0
5,35,50.0
5,36,-5.0
5,37,65.0
5,38,30.0
5,39,0.0
5,40,45.0
5,41,70.0
5,42,90.0
5,43,30.0
5,44,55.0
5,45,20.0
5,46,30.0
5,47,70.0
5,48,60.0
5,49,25.0
5,50,-10.0
5,51,55.0
5,52,45.0
5,53,10.0
5,54,40.0
5,55,5.0
5,56,40.0
5,57,80.0
5,58,25.0
5,59,20.0
5,60,20.0
5,61,5.0
5,62,20.0
5,63,50.0
5,64,45.0
5,65,40.0
5,66,30.0
5,67,-5.0
5,68,25.0
5,69,20.0
5,70,5.0
5,71,25.0
5,72,20.0
5,73,10.0
5,74,75.0
5,75,-35.0
5,76,10.0
5,77,5.0
5,78,0.0
5,79,20.0
5,80,-10.0
5,81,15.0
5,82,-5.0
5,83,-45.0
5,84,10.0
5,85,30.0
5,86,5.0
5,87,-5.0
5,88,45.0
5,89,-10.0
5,90,5.0
5,91,0.0
5,92,-15.0
5,93,25.0
5,94,-15.0
5,95,45.0
5,96,15.0
5,97,10.0
5,98,50.0
5,99,-15.0
5,100,25.0
5,101,45.0
5,102,5.0
5,103,-15.0
5,104,-25.0
5,105,-15.0
5,106,-30.0
5,107,20.0
5,108,-25.0
5,109,10.0
5,110,-30.0
5,111,-40.0
5,112,15.0
5,113,20.0
5,114,-15.0
5,115,-20.0
5,116,-20.0
5,117,-20.0
5,118,10.0
5,119,-25.0
5,120,10.0
5,121,-10.0
5,122,-35.0
5,123,-30.0
5,124,-20.0
5,125,-5.0
5,126,-5.0
5,127,-5.0
5,128,-70.0
5,129,-15.0
5,130,-60.0
5,131,-35.0
5,132,-65.0
5,133,-15.0
5,134,-20.0
5,135,-40.0
5,136,5.0
5,137,15.0
5,138,-35.0
5,139,10.0
5,140,-25.0
5,141,-5.0
5,142,-30.0
5,143,-45.0
5,144,-20.0
5,145,-65.0
5,146,-20.0
5,147,-30.0
5,148,-50.0
5,149,-50.0
5,150,-15.0
10,1,183.3575
10,2,258.419
10,3,349.6665
10,4,451.4445
10,5,344.743
10,6,339.686
10,7,266.3885
10,8,107.5575
10,9,184.3525
10,10,358.153
10,11,256.125
10,12,321.517
10,13,316.8035
10,14,309.993
10,15,425.9235
10,16,327.6135
10,17,166.6485
10,18,406.024
10,19,279.607
10,20,199.5855
10,21,294.8265
10,22,285.962
10,23,214.623
10,24,266.0205
10,25,147.2685
10,26,488.4455
10,27,493.1045
10,28,301.636
10,29,422.841
10,30,270.727
10,31,444.9355
10,32,334.328
10,33,103.5305
10,34,361.959
10,35,451.9165
10,36,289.0375
10,37,313.813
10,38,238.2345
10,39,266.983
10,40,309.3525
10,41,291.3905
10,42,271.953
10,43,264.0685
10,44,287.074
10,45,244.566
10,46,479.384
10,47,469.084
10,48,82.497
10,49,142.7205
10,50,94.4455
10,51,131.7515
10,52,441.263
10,53,232.9435
10,54,313.9845
10,55,216.2465
10,56,241.139
10,57,326.516
10,58,173.0045
10,59,289.529
10,60,349.4255
10,61,331.195
10,62,252.2295
10,63,267.0345
10,64,170.385
10,65,172.4275
10,66,314.1095
10,67,187.793
10,68,347.1335
10,69,162.5655
10,70,164.3525
10,71,239.4775
10,72,158.576
10,73,344.954
10,74,347.385
10,75,216.0545
10,76,289.4225
10,77,168.362
10,78,159.4575
10,79,226.265
10,80,383.003
10,81,165.8135
10,82,292.688
10,83,376.341
10,84,187.973
10,85,260.0575
10,86,359.5825
10,87,378.547
10,88,150.721
10,89,363.793
10,90,177.539
10,91,338.729
10,92,274.331
10,93,420.419
10,94,378.244
10,95,277.271
10,96,387.4115
10,97,370.941
10,98,455.9645
10,99,294.4275
10,100,352.9025
10,101,214.319
10,102,297.4655
10,103,329.71
10,104,362.2045
10,105,225.576
10,106,178.9595
10,107,348.5235
10,108,219.9465
10,109,247.854
10,110,381.217
10,111,241.0685
10,112,293.4275
10,113,318.2245
10,114,283.9295
10,115,342.365
10,116,411.642
10,117,373.087
10,118,435.286
10,119,465.84
10,120,194.975
10,121,227.4185
10,122,296.887
10,123,359.398
10,124,268.1615
10,125,232.931
10,126,192.5245
10,127,426.7285
10,128,141.9305
10,129,318.1545
10,130,267.7095
10,131,259.445
10,132,221.087
10,133,321.433
10,134,314.294
10,135,379.2965
10,136,134.9395
10,137,497.003
10,138,196.0325
10,139,301.087
10,140,232.785
10,141,420.7495
10,142,340.29
10,143,257.0625
10,144,225.075
10,145,393.873
10,146,440.8255
10,147,351.451
10,148,328.062
10,149,215.564
10,150,217.8005
