algorithm,seed,episode,reward
iql,42,1,-258.2274
iql,42,2,97.2848
iql,42,3,91.5013
iql,42,4,102.8478
iql,42,5,180.0376
iql,42,6,139.18
iql,42,7,157.7795
iql,42,8,137.5074
iql,42,9,208.6769
iql,42,10,159.2629
iql,42,11,203.3197
iql,42,12,196.835
iql,42,13,177.8725
iql,42,14,179.1973
iql,42,15,195.2321
iql,42,16,174.9624
iql,42,17,188.9009
iql,42,18,186.8866
iql,42,19,-399.4639
iql,42,20,143.9908
iql,42,21,145.9402
iql,42,22,144.8138
iql,42,23,94.7036
iql,42,24,199.6615
iql,42,25,187.2435
iql,42,26,165.6674
iql,42,27,199.0399
iql,42,28,158.6089
iql,42,29,120.9095
iql,42,30,128.2557
iql,42,31,161.7916
iql,42,32,193.8187
iql,42,33,159.1983
iql,42,34,153.5218
iql,42,35,197.6016
iql,42,36,141.8749
iql,42,37,167.8061
iql,42,38,170.3558
iql,42,39,192.9552
iql,42,40,206.6721
iql,42,41,158.7662
iql,42,42,198.5355
iql,42,43,203.6999
iql,42,44,217.8752
iql,42,45,210.2859
iql,42,46,225.2652
iql,42,47,330.4338
iql,42,48,192.7973
iql,42,49,279.4729
iql,42,50,180.7537
iql,42,51,202.657
iql,42,52,277.6072
iql,42,53,290.5718
iql,42,54,351.5506
iql,42,55,336.0378
iql,42,56,348.674
iql,42,57,343.4824
iql,42,58,343.3251
iql,42,59,175.4757
iql,42,60,203.9105
iql,42,61,192.9722
iql,42,62,196.0233
iql,42,63,189.97
iql,42,64,193.0386
iql,42,65,151.9555
iql,42,66,360.4532
iql,42,67,186.1217
iql,42,68,171.6969
iql,42,69,188.953
iql,42,70,194.8613
iql,42,71,188.7946
iql,42,72,204.0263
iql,42,73,301.0526
iql,42,74,-67.4545
iql,42,75,289.558
iql,42,76,145.2471
iql,42,77,166.283
iql,42,78,191.2996
iql,42,79,184.9376
iql,42,80,370.3024
iql,42,81,157.0802
iql,42,82,144.8618
iql,42,83,138.0487
iql,42,84,197.2834
iql,42,85,155.0885
iql,42,86,379.3562
iql,42,87,139.3628
iql,42,88,286.858
iql,42,89,147.9563
iql,42,90,296.5247
iql,42,91,156.5234
iql,42,92,138.0325
iql,42,93,164.793
iql,42,94,161.5392
iql,42,95,132.9233
iql,42,96,178.6283
iql,42,97,259.4984
iql,42,98,185.5269
iql,42,99,204.6944
iql,42,100,258.2527
iql,42,101,215.9133
iql,42,102,202.648
iql,42,103,192.6847
iql,42,104,170.299
iql,42,105,196.491
iql,42,106,170.3797
iql,42,107,186.9451
iql,42,108,187.5975
iql,42,109,180.0865
iql,42,110,178.4989
iql,42,111,154.1784
iql,42,112,303.7019
iql,42,113,153.0671
iql,42,114,136.7442
iql,42,115,147.6792
iql,42,116,166.2995
iql,42,117,172.7524
iql,42,118,200.9586
iql,42,119,148.2579
iql,42,120,129.5843
iql,42,121,119.9195
iql,42,122,295.8924
iql,42,123,306.2091
iql,42,124,189.2458
iql,42,125,321.1614
iql,42,126,245.2059
iql,42,127,265.9193
iql,42,128,131.1455
iql,42,129,186.0048
iql,42,130,166.2352
iql,42,131,190.5506
iql,42,132,202.2431
iql,42,133,277.9363
iql,42,134,166.0902
iql,42,135,184.6758
iql,42,136,158.0677
iql,42,137,155.8475
iql,42,138,184.526
iql,42,139,244.8915
iql,42,140,255.2193
iql,42,141,372.6897
iql,42,142,309.7309
iql,42,143,270.7399
iql,42,144,195.4342
iql,42,145,178.4891
iql,42,146,181.4176
iql,42,147,163.7246
iql,42,148,224.6831
iql,42,149,268.3095
iql,42,150,159.6287
iql,42,151,273.1093
iql,42,152,267.5366
iql,42,153,232.431
iql,42,154,285.8124
iql,42,155,223.0959
iql,42,156,207.1035
iql,42,157,221.4426
iql,42,158,202.8748
iql,42,159,231.5976
iql,42,160,311.8206
iql,42,161,210.0039
iql,42,162,309.4654
iql,42,163,195.0954
iql,42,164,291.9976
iql,42,165,182.1038
iql,42,166,208.1243
iql,42,167,198.3407
iql,42,168,296.8235
iql,42,169,-1.5663
iql,42,170,110.9808
iql,42,171,247.606
iql,42,172,156.4519
iql,42,173,182.2102
iql,42,174,172.9235
iql,42,175,-413.5764
iql,42,176,279.5733
iql,42,177,167.5921
iql,42,178,345.1851
iql,42,179,144.1325
iql,42,180,415.988
iql,42,181,178.9833
iql,42,182,177.3861
iql,42,183,154.0882
iql,42,184,119.0544
iql,42,185,146.1542
iql,42,186,-848.9145
iql,42,187,216.4612
iql,42,188,-816.7151
iql,42,189,191.7178
iql,42,190,257.2698
iql,42,191,268.9091
iql,42,192,173.1824
iql,42,193,157.6444
iql,42,194,303.4989
