SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Solar Radiation (Watt/m2)
1,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,21-01-2006 10:00,50
2,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,21-01-2006 12:00,230
3,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,21-01-2006 13:00,244
4,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,21-01-2006 14:00,184
5,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,23-04-2006 08:00,423
6,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 07:00,342
7,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 08:00,444
8,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 09:00,618
9,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 11:00,675
10,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 12:00,1355
11,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 13:00,390
12,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 14:00,1560
13,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 21:00,351
14,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 22:00,342
15,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,07-05-2008 23:00,339
16,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,08-05-2008 00:00,335
17,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,08-05-2008 01:00,321
18,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,08-05-2008 02:00,314
19,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,08-05-2008 03:00,306
20,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,08-05-2008 04:00,317
21,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,08-05-2008 05:00,322
22,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,08-05-2008 06:00,328
23,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 07:00,410
24,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 08:00,463
25,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 09:00,573
26,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 10:00,887
27,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 11:00,979
28,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 12:00,1030
29,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 13:00,1012
30,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 14:00,955
31,Kollegal_1,Karnataka,29,Karnataka,531,Chamarajanagar,-,-,-,-,-,-,-,-,-,12.15100000,77.11440000,17-12-2017 15:00,841
